,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
439,1202009,02-10-2019,male,Kinrara Academy Oval,Malaysia,Vanuatu,Malaysia,bat,Malaysia,['N Nipiko']
440,1202010,03-10-2019,male,Kinrara Academy Oval,Malaysia,Vanuatu,Malaysia,bat,Vanuatu,['J Rasu']
441,1202011,04-10-2019,male,Kinrara Academy Oval,Malaysia,Vanuatu,Malaysia,bat,Malaysia,['Syed Aziz']
442,1202243,07-01-2020,male,Holkar Cricket Stadium,India,Sri Lanka,India,field,India,['NA Saini']
443,1202244,10-01-2020,male,Maharashtra Cricket Association Stadium,India,Sri Lanka,Sri Lanka,field,India,['SN Thakur']
444,1202252,09-11-2019,female,"Darren Sammy National Cricket Stadium, St Lucia",West Indies,India,West Indies,field,India,['Shafali Verma']
445,1202253,10-11-2019,female,"Darren Sammy National Cricket Stadium, St Lucia",West Indies,India,West Indies,bat,India,['DB Sharma']
446,1202254,14-11-2019,female,"Providence Stadium, Guyana",West Indies,India,West Indies,bat,India,['JI Rodrigues']
447,1202255,17-11-2019,female,"Providence Stadium, Guyana",West Indies,India,West Indies,field,India,['HK Matthews']
448,1202256,20-11-2019,female,"Providence Stadium, Guyana",West Indies,India,India,bat,India,['V Krishnamurthy']
449,1202366,03-10-2019,female,Lalabhai Contractor Stadium,India,South Africa,India,field,India,['H Kaur']
450,1203676,15-01-2020,male,"National Cricket Stadium, Grenada",West Indies,Ireland,Ireland,bat,Ireland,['PR Stirling']
451,1203677,18-01-2020,male,"Warner Park, St Kitts",West Indies,Ireland,West Indies,field,no result,['PR Stirling']
452,1203678,19-01-2020,male,"Warner Park, St Kitts",West Indies,Ireland,West Indies,field,West Indies,['LMP Simmons']
453,1204726,26-10-2019,female,Gaddafi Stadium,Pakistan,Bangladesh,Pakistan,bat,Pakistan,['Bismah Maroof']
454,1207081,08-03-2020,male,Desert Springs Cricket Ground,Spain,Germany,Spain,field,Spain,['Bismah Maroof']
455,1207082,08-03-2020,male,Desert Springs Cricket Ground,Spain,Germany,Spain,field,Germany,['Bismah Maroof']
456,1208347,17-12-2019,female,Kinrara Academy Oval,England,Pakistan,Pakistan,field,England,['AE Jones']
457,1208348,19-12-2019,female,Kinrara Academy Oval,England,Pakistan,England,bat,England,['AE Jones']
458,1208349,20-12-2019,female,Kinrara Academy Oval,England,Pakistan,England,bat,England,['HC Knight']
