value,name
Shuvagata Hom,Shuvagata Hom
CJ Metcalfe,CJ Metcalfe
BTJ Wheal,BTJ Wheal
P Raho,P Raho
H Hiri,H Hiri
Saqlain Haider,Saqlain Haider
Fahad Tariq,Fahad Tariq
Zaheer Maqsood,Zaheer Maqsood
Qadeer Ahmed,Qadeer Ahmed
Muhammad Kaleem,Muhammad Kaleem
Usman Mushtaq,Usman Mushtaq
Muktar Ali,Muktar Ali
Abu Hider,Abu Hider
Taskin Ahmed,Taskin Ahmed
Mohammad Usman,Mohammad Usman
VS Wategaonkar,VS Wategaonkar
A Mehmood,A Mehmood
Khurram Manzoor,Khurram Manzoor
Hafiz Qaleem,Hafiz Qaleem
Farhan Ahmed,Farhan Ahmed
SS Pathirana,SS Pathirana
MA Wood,MA Wood
MS Crane,MS Crane
Mohammad Nawaz (3),Mohammad Nawaz (3)
Rumman Raees,Rumman Raees
Preeti Bose,Preeti Bose
Atif Ali Khan,Atif Ali Khan
CB Sole,CB Sole
LCN Smith,LCN Smith
TJ Vlaeminck,TJ Vlaeminck
MK Villiers,MK Villiers
PKD Chase,PKD Chase
Ziaur Rahman (2),Ziaur Rahman (2)
Sayed Shirzad,Sayed Shirzad
A Hartley,A Hartley
Nashra Sandhu,Nashra Sandhu
A Neill,A Neill
M Bibi,M Bibi
S Khadka,S Khadka
M Gaur,M Gaur
S Saenya,S Saenya
A Bidari,A Bidari
JM Kerr,JM Kerr
S Glenn,S Glenn
FR Davies,FR Davies
M Methtananda,M Methtananda
Surinder Singh,Surinder Singh
CC Blake,CC Blake
Vimal Kumar,Vimal Kumar
Fatima Sana,Fatima Sana
Rameen Shamim,Rameen Shamim
Muslim Yar,Muslim Yar
O Keitsemang,O Keitsemang
V Thari Thari,V Thari Thari
P Modimo,P Modimo
T Granger,T Granger
A Mazvishaya,A Mazvishaya
P Marange,P Marange
L Phiri,L Phiri
R Samson,R Samson
I Muhawenimana,I Muhawenimana
N Mutasa,N Mutasa
N Sibanda,N Sibanda
M Tom,M Tom
NM Ambo,NM Ambo
N Sitompul,N Sitompul
T Hanum,T Hanum
E Eduard,E Eduard
MI Tato,MI Tato
L Vuadreu,L Vuadreu
Muhammad Musa,Muhammad Musa
H Ssenyondo,H Ssenyondo
E Ochieng,E Ochieng
Mohameed Taiwo,Mohameed Taiwo
B Masaba,B Masaba
AL Kerrison,AL Kerrison
K Senamontree,K Senamontree
S Saeed,S Saeed
CA Liyanage,CA Liyanage
MW Parkinson,MW Parkinson
M Anyigo,M Anyigo
E Anyipo,E Anyipo
AH Maqsood,AH Maqsood
EC Bargna,EC Bargna
SR McAnanama-Brereton,SR McAnanama-Brereton
K Fraser,K Fraser
F Overdijk,F Overdijk
A Aitken,A Aitken
HRA Rainey,HRA Rainey
A Hogg,A Hogg
Nawaf Ahmed,Nawaf Ahmed
Musawar Shah,Musawar Shah
HC Overdijk,HC Overdijk
D Igihozo,D Igihozo
Kiyo Fujikawa,Kiyo Fujikawa
DH Sharma,DH Sharma
T Wang Ling,T Wang Ling
Nik Nur Atiela,Nik Nur Atiela
Hamza Tahir,Hamza Tahir
AS Abioye,AS Abioye
Raja Adeel,Raja Adeel
TC Vine,TC Vine
Fakhrul Mohon,Fakhrul Mohon
Ali Naqi,Ali Naqi
RJ Hatchman,RJ Hatchman
NH Naureen,NH Naureen
Zulqarnain Haider (2),Zulqarnain Haider (2)
R Ngarava,R Ngarava
D Jakiel,D Jakiel
WT Mashinge,WT Mashinge
R Shepherd,R Shepherd
SVE Bharathi,SVE Bharathi
K Dorji,K Dorji
J Thinley,J Thinley
Rashid Khan (2),Rashid Khan (2)
SC Kumari,SC Kumari
Anjali Chand,Anjali Chand
S Khatiwada,S Khatiwada
Hasan Mahmud,Hasan Mahmud
CK Tshuma,CK Tshuma
S Meyenborg,S Meyenborg
Sani E Zehra,Sani E Zehra
Mohsin Khan,Mohsin Khan
Hassan Khan Mohammad,Hassan Khan Mohammad
D Mogan,D Mogan
Ahmed Raid,Ahmed Raid
Shoaib Ali,Shoaib Ali
Usman Ali,Usman Ali
UKPW Kumaranayaka,UKPW Kumaranayaka
Navid Abdollahpour,Navid Abdollahpour
Muhammad Ansar,Muhammad Ansar
K Subramanian,K Subramanian
B Karki,B Karki
D Gough,D Gough
SJ Harmison,SJ Harmison
N Boje,N Boje
PDRL Perera,PDRL Perera
ML Lewis,ML Lewis
SR Clark,SR Clark
IDR Bradshaw,IDR Bradshaw
DK Butler,DK Butler
GB Brent,GB Brent
T Mupariwa,T Mupariwa
Iftikhar Anjum,Iftikhar Anjum
Mansoor Amjad,Mansoor Amjad
IE O'Brien,IE O'Brien
LS Baker,LS Baker
GI Maiden,GI Maiden
SKW Kelly,SKW Kelly
RDM Leverock,RDM Leverock
KL Pulford,KL Pulford
SJ Andrews,SJ Andrews
KE Pike,KE Pike
BJ Diamanti,BJ Diamanti
IT Guha,IT Guha
GC Tonge,GC Tonge
Dawlat Ahmadzai,Dawlat Ahmadzai
CR Smith,CR Smith
C van der Westhuizen,C van der Westhuizen
M Pushpakumara,M Pushpakumara
Arsalan Qadir,Arsalan Qadir
Mohammad Kashif,Mohammad Kashif
LJ Woodcock,LJ Woodcock
Tanvir Ahmed (1),Tanvir Ahmed (1)
KTGD Prasad,KTGD Prasad
MD Bates,MD Bates
Sohail Khan,Sohail Khan
GW Aldridge,GW Aldridge
A Martin,A Martin
Abul Hasan,Abul Hasan
DR Briggs,DR Briggs
RK Parwin,RK Parwin
MA Parker,MA Parker
Zamir Khan,Zamir Khan
SL Munroe,SL Munroe
SC Meaker,SC Meaker
ST Gabriel,ST Gabriel
Sajedul Islam,Sajedul Islam
Robiul Islam,Robiul Islam
Asad Ali,Asad Ali
JK Mukhiya,JK Mukhiya
T Kamungozi,T Kamungozi
Sharif Asadullah,Sharif Asadullah
FC Leydon-Davis,FC Leydon-Davis
Maham Tariq,Maham Tariq
Y Fourie,Y Fourie
Naila Nazir,Naila Nazir
E Leie,E Leie
Nasir Aziz,Nasir Aziz
MB van Schelven,MB van Schelven
GT Main,GT Main
GJ McCarter,GJ McCarter
Aamer Yamin,Aamer Yamin
Yamin Ahmadzai,Yamin Ahmadzai
Rokhan Barakzai,Rokhan Barakzai
M Nasim Baras,M Nasim Baras
Jubair Hossain,Jubair Hossain
Saqlain Sajib,Saqlain Sajib
Mohammad Shahid,Mohammad Shahid
